account_rewards,date
6899.353660583496,2021-06-29
3705.652030944824,2021-06-30
1101.8688125610352,2021-07-01
-6191.851318359375,2021-07-02
8318.021705627441,2021-07-06
-11860.875213623047,2021-07-07
16768.501007080078,2021-07-08
4231.843460083008,2021-07-09
2620.7612228393555,2021-07-12
6228.806831359863,2021-07-13
9354.871490478516,2021-07-14
-5002.359748840332,2021-07-15
-29246.09809112549,2021-07-16
10771.974563598633,2021-07-19
6334.927673339844,2021-07-20
-9071.815406799316,2021-07-21
13275.71711730957,2021-07-22
6396.6606521606445,2021-07-23
1769.6585311889648,2021-07-26
-18696.87522125244,2021-07-27
7898.90909576416,2021-07-28
2619.141746520996,2021-07-29
-5752.619522094727,2021-07-30
15465.568305969238,2021-08-02
-13322.400421142578,2021-08-03
408.60770416259766,2021-08-04
6913.027976989746,2021-08-05
-4492.594039916992,2021-08-06
5032.265197753906,2021-08-09
3616.7399673461914,2021-08-10
-2834.812744140625,2021-08-11
3996.9390411376953,2021-08-12
12979.120803833008,2021-08-13
-611.3606033325195,2021-08-16
-18039.965690612793,2021-08-17
6035.878890991211,2021-08-18
6164.886322021484,2021-08-19
465.25074005126953,2021-08-20
-1968.5221481323242,2021-08-23
-2375.4892044067383,2021-08-24
-10683.844955444336,2021-08-25
9323.769302368164,2021-08-26
-3023.060676574707,2021-08-27
-1935.5890808105469,2021-08-30
1224.465347290039,2021-08-31
5318.627830505371,2021-09-01
-2638.600067138672,2021-09-02
-13887.179626464844,2021-09-03
5298.940803527832,2021-09-07
-7527.59602355957,2021-09-08
-15224.727500915527,2021-09-09
16882.028526306152,2021-09-10
-15234.801094055176,2021-09-13
13146.683052062988,2021-09-14
-6998.785232543945,2021-09-15
-3417.687225341797,2021-09-16
-21580.917678833008,2021-09-17
-5456.296119689941,2021-09-20
8473.764404296875,2021-09-21
15354.68244934082,2021-09-22
1948.6813125610352,2021-09-23
-2902.7898483276367,2021-09-24
-19712.45281982422,2021-09-27
10369.715255737305,2021-09-28
-30694.83856201172,2021-09-29
17844.79670715332,2021-09-30
-13292.957427978516,2021-10-01
11114.142768859863,2021-10-04
8066.096923828125,2021-10-05
18375.269325256348,2021-10-06
2017.9600982666016,2021-10-07
-10679.874465942383,2021-10-08
-5133.8933029174805,2021-10-11
1399.5583419799805,2021-10-12
31330.96392059326,2021-10-13
11653.615051269531,2021-10-14
-15784.996566772461,2021-10-15
3463.9145126342773,2021-10-18
12634.415885925293,2021-10-19
-8309.501350402832,2021-10-20
10178.701583862305,2021-10-21
5205.392440795898,2021-10-22
2517.8055114746094,2021-10-25
-29990.176849365234,2021-10-26
2964.4837799072266,2021-10-27
3941.2921600341797,2021-10-28
-2771.777275085449,2021-10-29
-618.5154876708984,2021-11-01
9943.153205871582,2021-11-02
-5634.256645202637,2021-11-03
19998.613540649414,2021-11-04
5796.799461364746,2021-11-05
-10021.839622497559,2021-11-08
2647.1033248901367,2021-11-09
-12645.793319702148,2021-11-10
4630.630218505859,2021-11-11
-2595.600944519043,2021-11-12
1811.2165832519531,2021-11-15
-16654.0375289917,2021-11-16
-7689.8560791015625,2021-11-17
-18179.859840393066,2021-11-18
3732.7101974487305,2021-11-19
18800.978912353516,2021-11-22
764.1352615356445,2021-11-23
-29755.663902282715,2021-11-24
12736.143966674805,2021-11-26
-37599.505767822266,2021-11-29
-3915.9715270996094,2021-11-30
21785.13265991211,2021-12-01
12770.673202514648,2021-12-02
34064.4684753418,2021-12-03
10763.264831542969,2021-12-06
9217.28118133545,2021-12-07
9686.228561401367,2021-12-08
13679.467483520508,2021-12-09
-6025.5510330200195,2021-12-10
7380.570655822754,2021-12-13
17652.920486450195,2021-12-14
15913.783851623535,2021-12-15
-25030.566635131836,2021-12-16
-14170.75033569336,2021-12-17
18024.68960571289,2021-12-20
11760.963073730469,2021-12-21
5446.485610961914,2021-12-22
14595.228073120117,2021-12-23
9960.355262756348,2021-12-27
7928.98770904541,2021-12-28
-5983.577598571777,2021-12-29
-1832.740577697754,2021-12-30
8069.7338943481445,2021-12-31
4948.901466369629,2022-01-03
2.2714462280273438,2022-01-04
-20094.108306884766,2022-01-05
-228.16443634033203,2022-01-06
-11267.876762390137,2022-01-07
2838.9291763305664,2022-01-10
5251.829010009766,2022-01-11
-4370.520751953125,2022-01-12
1725.8047637939453,2022-01-13
-13490.390853881836,2022-01-14
5128.394622802734,2022-01-18
996.5004348754883,2022-01-19
-19233.403732299805,2022-01-20
1688.322265625,2022-01-21
1018.3299865722656,2022-01-24
-8590.615036010742,2022-01-25
3817.797134399414,2022-01-26
22205.145965576172,2022-01-27
4782.805023193359,2022-01-28
10147.499938964844,2022-01-31
25654.813179016113,2022-02-01
20.251739501953125,2022-02-02
-17703.59846496582,2022-02-03
-1052.8702087402344,2022-02-04
9404.09871673584,2022-02-07
10439.610717773438,2022-02-08
-26773.385902404785,2022-02-09
-10741.106399536133,2022-02-10
-9733.01254272461,2022-02-11
7598.456382751465,2022-02-14
3000.8787841796875,2022-02-15
-22016.17879486084,2022-02-16
-6150.907569885254,2022-02-17
-13349.300239562988,2022-02-18
-16616.894760131836,2022-02-22
-16259.260154724121,2022-02-23
55021.699211120605,2022-02-24
-12222.262405395508,2022-02-25
-22253.299743652344,2022-02-28
25444.77163696289,2022-03-01
5843.075897216797,2022-03-02
